Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
23155,19960703,101,72,  87 ,   5, 50, 65,  0, 22,-,M  ,-,-, 0.00,29.25,29.80,  6.1,31, 7.0, 21,30, 17,30
23155,19960704,95,65,  80 ,  -3, 55, 65,  0, 15,-,M  ,-,-, 0.00,29.32,29.86,  6.6,30, 6.6, 18,30, 15,29
23155,19960705,96,61,  79 ,  -4, 50, 63,  0, 14,-,M  ,-,-, 0.00,29.29,29.85,  4.6,30, 8.2, 17,30, 14,30
23155,19960706,100,63,  82 ,  -1, 51, 64,  0, 17,-,M  ,-,-, 0.00,29.27,29.83,  3.5,30, 6.5, 18,30, 16,30
23155,19960707,102,68,  85 ,   2, 52, 66,  0, 20,-,M  ,-,-, 0.00,29.20,29.75,  3.9,31, 7.1, 17,31, 15,31
23155,19960708,99,69,  84 ,   1, 54, 66,  0, 19,-,M  ,-,-, 0.00,29.16,29.70,  5.9,32, 8.3, 20,29, 16,30
23155,19960709,101,69,  85 ,   1, 53, 66,  0, 20,HZ ,M  ,-,-, 0.00,29.21,29.76,  6.6,31, 7.8, 17,31, 14,31
23155,19960710,101,71,  86 ,   2, 49, 64,  0, 21,HZ ,M  ,-,-, 0.00,29.33,29.88,  7.4,32, 9.2, 21,29, 16,29
23155,19960711,91,73,  82 ,  -2, 52, 64,  0, 17,TS ,M  ,-,-,  T  ,29.37,29.93,  3.2,30, 5.6, 14,21, 11,11
23155,19960712,98,68,  83 ,  -1, 58, 68,  0, 18,-,M  ,-,-, 0.00,29.31,29.86,  2.9,28, 5.1, 17,30, 15,31
23155,19960713,101,71,  86 ,   2, 58, 68,  0, 21,HZ ,M  ,-,-, 0.00,29.25,29.80,  1.7,32, 5.4, 18,30, 15,33
